condition,attack,persona_id,risk_tier,rank,top1,top3,score_true,top_candidate
c1_direct_redaction,char_tfidf,P0001,T2,6,0,0,0.07843581028368057,P0046
c1_direct_redaction,char_tfidf,P0002,T3,1,1,1,0.33073170887072845,P0002
c1_direct_redaction,char_tfidf,P0003,T1,3,0,1,0.072416540623427,P0117
c1_direct_redaction,char_tfidf,P0004,T2,1,1,1,0.11219945670873561,P0004
c1_direct_redaction,char_tfidf,P0006,T1,5,0,0,0.07588911099410466,P0057
c1_direct_redaction,char_tfidf,P0007,T2,2,0,1,0.11961482625376864,P0045
c1_direct_redaction,char_tfidf,P0008,T3,1,1,1,0.3429229525781821,P0008
c1_direct_redaction,char_tfidf,P0009,T1,1,1,1,0.10743244707911567,P0009
c1_direct_redaction,char_tfidf,P0011,T3,1,1,1,0.38881004420698406,P0011
c1_direct_redaction,char_tfidf,P0012,T1,1,1,1,0.08746228403330934,P0012
c1_direct_redaction,char_tfidf,P0013,T2,1,1,1,0.15876942334428945,P0013
c1_direct_redaction,char_tfidf,P0014,T3,1,1,1,0.338289221660653,P0014
c1_direct_redaction,char_tfidf,P0016,T2,2,0,1,0.11664238953613988,P0072
c1_direct_redaction,char_tfidf,P0017,T3,1,1,1,0.3570527354976457,P0017
c1_direct_redaction,char_tfidf,P0018,T1,2,0,1,0.10656598514192027,P0057
c1_direct_redaction,char_tfidf,P0019,T2,2,0,1,0.1294458982316321,P0043
c1_direct_redaction,char_tfidf,P0021,T1,8,0,0,0.05995600222715389,P0051
c1_direct_redaction,char_tfidf,P0022,T2,1,1,1,0.12646641090756836,P0022
c1_direct_redaction,char_tfidf,P0023,T3,1,1,1,0.35288618297048147,P0023
c1_direct_redaction,char_tfidf,P0024,T1,8,0,0,0.06808610824503175,P0011
c1_direct_redaction,char_tfidf,P0026,T3,1,1,1,0.3393496419603612,P0026
c1_direct_redaction,char_tfidf,P0027,T1,8,0,0,0.059731864561759586,P0057
c1_direct_redaction,char_tfidf,P0028,T2,1,1,1,0.13372534852962112,P0028
c1_direct_redaction,char_tfidf,P0029,T3,1,1,1,0.3525354208085409,P0029
c1_direct_redaction,char_tfidf,P0031,T2,2,0,1,0.09762078680778921,P0047
c1_direct_redaction,char_tfidf,P0032,T3,1,1,1,0.34095791797196495,P0032
c1_direct_redaction,char_tfidf,P0033,T1,4,0,0,0.07625966249596469,P0018
c1_direct_redaction,char_tfidf,P0034,T2,3,0,1,0.1208166993004641,P0029
c1_direct_redaction,char_tfidf,P0036,T1,3,0,1,0.07276395416214128,P0018
c1_direct_redaction,char_tfidf,P0037,T2,1,1,1,0.16483346000655,P0037
c1_direct_redaction,char_tfidf,P0038,T3,1,1,1,0.34934145532071603,P0038
c1_direct_redaction,char_tfidf,P0039,T1,3,0,1,0.07593062289678511,P0057
c1_direct_redaction,char_tfidf,P0041,T3,1,1,1,0.33743337413014385,P0041
c1_direct_redaction,char_tfidf,P0042,T1,9,0,0,0.058028742783140026,P0003
c1_direct_redaction,char_tfidf,P0043,T2,1,1,1,0.15429355675473955,P0043
c1_direct_redaction,char_tfidf,P0044,T3,1,1,1,0.3462476663707759,P0044
c1_direct_redaction,char_tfidf,P0046,T2,2,0,1,0.13136396822313032,P0094
c1_direct_redaction,char_tfidf,P0047,T3,1,1,1,0.33409037973404343,P0047
c1_direct_redaction,char_tfidf,P0048,T1,9,0,0,0.05427740920799081,P0059
c1_direct_redaction,char_tfidf,P0049,T2,1,1,1,0.1360924662610054,P0049
c1_direct_redaction,char_tfidf,P0051,T1,4,0,0,0.0727027472279782,P0003
c1_direct_redaction,char_tfidf,P0052,T2,1,1,1,0.14052726829248535,P0052
c1_direct_redaction,char_tfidf,P0053,T3,1,1,1,0.28002977027431136,P0053
c1_direct_redaction,char_tfidf,P0054,T1,10,0,0,0.06045305842343977,P0030
c1_direct_redaction,char_tfidf,P0056,T3,1,1,1,0.36321990487538314,P0056
c1_direct_redaction,char_tfidf,P0057,T1,2,0,1,0.09012609955627862,P0018
c1_direct_redaction,char_tfidf,P0058,T2,4,0,0,0.10792709116139824,P0073
c1_direct_redaction,char_tfidf,P0059,T3,1,1,1,0.3327615130588079,P0059
c1_direct_redaction,char_tfidf,P0061,T2,1,1,1,0.15030880664278706,P0061
c1_direct_redaction,char_tfidf,P0062,T3,1,1,1,0.35928826439632083,P0062
c1_direct_redaction,char_tfidf,P0063,T1,4,0,0,0.07343435087770128,P0011
c1_direct_redaction,char_tfidf,P0064,T2,2,0,1,0.1326823876897644,P0035
c1_direct_redaction,char_tfidf,P0066,T1,3,0,1,0.07142559446018944,P0074
c1_direct_redaction,char_tfidf,P0067,T2,2,0,1,0.10944550342162805,P0000
c1_direct_redaction,char_tfidf,P0068,T3,1,1,1,0.36118792117860393,P0068
c1_direct_redaction,char_tfidf,P0069,T1,10,0,0,0.05787551708904554,P0107
c1_direct_redaction,char_tfidf,P0071,T3,1,1,1,0.298262860094056,P0071
c1_direct_redaction,char_tfidf,P0072,T1,4,0,0,0.07860125903403113,P0040
c1_direct_redaction,char_tfidf,P0073,T2,1,1,1,0.1412828668923913,P0073
c1_direct_redaction,char_tfidf,P0074,T3,1,1,1,0.3860607225285214,P0074
c1_direct_redaction,char_tfidf,P0076,T2,2,0,1,0.1283166167833483,P0045
c1_direct_redaction,char_tfidf,P0077,T3,1,1,1,0.3181727483828358,P0077
c1_direct_redaction,char_tfidf,P0078,T1,10,0,0,0.043314325812569325,P0008
c1_direct_redaction,char_tfidf,P0079,T2,7,0,0,0.0865674635582679,P0050
c1_direct_redaction,char_tfidf,P0081,T1,4,0,0,0.08301340924009139,P0011
c1_direct_redaction,char_tfidf,P0082,T2,2,0,1,0.12378759784479192,P0045
c1_direct_redaction,char_tfidf,P0083,T3,1,1,1,0.36121546142304756,P0083
c1_direct_redaction,char_tfidf,P0084,T1,4,0,0,0.07886252374274369,P0057
c1_direct_redaction,char_tfidf,P0086,T3,1,1,1,0.3708732369190516,P0086
c1_direct_redaction,char_tfidf,P0087,T1,3,0,1,0.08616877759172058,P0106
c1_direct_redaction,char_tfidf,P0088,T2,2,0,1,0.11346952847700661,P0030
