condition,doc_id,edit_ratio,char_delta
c1_direct_redaction,P0000_D01,0.1473429951690821,-50
c2_consistent_pseudonym,P0000_D01,0.21615201900237535,-36
c3_per_doc_pseudonym,P0000_D01,0.22065727699530513,-26
c4_doc_local_anon,P0000_D01,0.1473429951690821,-50
c5_linkguard,P0000_D01,0.19087635054021612,-45
c6_aggressive_redaction,P0000_D01,0.7515683814303639,-81
c1b_presidio_redaction,P0000_D01,0.294250281848929,9
c1_direct_redaction,P0000_D02,0.2773333333333333,-50
c2_consistent_pseudonym,P0000_D02,0.26439790575916233,-36
c3_per_doc_pseudonym,P0000_D02,0.2739018087855297,-26
c4_doc_local_anon,P0000_D02,0.2773333333333333,-50
c5_linkguard,P0000_D02,0.5930851063829787,-48
c6_aggressive_redaction,P0000_D02,0.7585733882030179,-71
c1b_presidio_redaction,P0000_D02,0.3241551939924906,-1
c1_direct_redaction,P0000_D03,0.268361581920904,-50
c2_consistent_pseudonym,P0000_D03,0.25761772853185594,-36
c3_per_doc_pseudonym,P0000_D03,0.26775956284153,-26
c4_doc_local_anon,P0000_D03,0.268361581920904,-50
c5_linkguard,P0000_D03,0.365034965034965,-43
c6_aggressive_redaction,P0000_D03,0.4310595065312046,-69
c1b_presidio_redaction,P0000_D03,0.4054758800521513,9
c1_direct_redaction,P0000_D04,0.25552825552825553,-50
c2_consistent_pseudonym,P0000_D04,0.2439613526570048,-36
c3_per_doc_pseudonym,P0000_D04,0.28878281622911695,-26
c4_doc_local_anon,P0000_D04,0.25552825552825553,-50
c5_linkguard,P0000_D04,0.3863080684596577,-46
c6_aggressive_redaction,P0000_D04,0.46113989637305697,-92
c1b_presidio_redaction,P0000_D04,0.27694090382387027,-1
c1_direct_redaction,P0001_D01,0.2164009111617312,-54
c2_consistent_pseudonym,P0001_D01,0.234375,-36
c3_per_doc_pseudonym,P0001_D01,0.24282560706401768,-26
c4_doc_local_anon,P0001_D01,0.24191750278706803,-35
c5_linkguard,P0001_D01,0.5379146919431279,-88
c6_aggressive_redaction,P0001_D01,0.704630788485607,-133
c1b_presidio_redaction,P0001_D01,0.31071049840933196,11
c1_direct_redaction,P0001_D02,0.23950617283950615,-54
c2_consistent_pseudonym,P0001_D02,0.5465686274509804,-48
c3_per_doc_pseudonym,P0001_D02,0.5520581113801453,-38
c4_doc_local_anon,P0001_D02,0.23950617283950615,-54
c5_linkguard,P0001_D02,0.6743002544529262,-78
c6_aggressive_redaction,P0001_D02,0.8933333333333333,-114
c1b_presidio_redaction,P0001_D02,0.2947976878612717,1
c1_direct_redaction,P0001_D03,0.15856777493606133,-54
c2_consistent_pseudonym,P0001_D03,0.265,-36
c3_per_doc_pseudonym,P0001_D03,0.274074074074074,-26
c4_doc_local_anon,P0001_D03,0.1910112359550562,-35
c5_linkguard,P0001_D03,0.46736292428198434,-70
c6_aggressive_redaction,P0001_D03,0.7230359520639148,-85
c1b_presidio_redaction,P0001_D03,0.3482880755608029,11
c1_direct_redaction,P0001_D04,0.14553990610328638,-54
c2_consistent_pseudonym,P0001_D04,0.2494172494172494,-48
c3_per_doc_pseudonym,P0001_D04,0.2603686635944701,-38
c4_doc_local_anon,P0001_D04,0.14553990610328638,-54
c5_linkguard,P0001_D04,0.6248506571087216,-69
