condition,risk_tier,n,top1,top3,mrr,mean_rank,median_top_1_score,median_top_score_margin,uncertain_rate
c1_direct_redaction,T2,24,1.0,1.0,1.0,1.0,0.92,,0.041666666666666664
c1_direct_redaction,T3,24,1.0,1.0,1.0,1.0,0.99,,0.0
c1b_presidio_redaction,T2,24,0.9583333333333334,1.0,0.9791666666666666,1.0416666666666667,0.845,,0.25
c1b_presidio_redaction,T3,24,1.0,1.0,1.0,1.0,0.99,,0.0
c4_doc_local_anon,T2,24,1.0,1.0,1.0,1.0,0.86,,0.16666666666666666
c4_doc_local_anon,T3,24,1.0,1.0,1.0,1.0,0.99,,0.0
c5_linkguard,T2,24,0.4166666666666667,0.625,0.5805555555555556,2.75,0.39,,0.8333333333333334
c5_linkguard,T3,24,0.4583333333333333,0.7916666666666666,0.6298611111111111,2.4583333333333335,0.43,,1.0
c6_aggressive_redaction,T2,24,0.4166666666666667,0.7083333333333334,0.6131944444444445,2.4166666666666665,0.625,,0.75
c6_aggressive_redaction,T3,24,0.25,0.625,0.4847222222222222,2.9583333333333335,0.65,,0.8333333333333334
