task,condition,persona_id,cache_key,cached,input_chars,max_output_tokens,reasoning_effort,note
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0001,ec41bc85cfc13e33f5caf26b88a87fa841c767d119c2c2b1c03257143f636bca,True,856,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0001,97660953876d790b586aaf209ba9d55404e10ac8feb3c67e29ddaf9972751bec,True,822,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0001,1688001d923f4bb5cb77378b53f1250d576d2d9d1b54bb0078d73e2252f52d74,True,808,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0001,e91f6e826c67264091b32e672148fa05858bcd284d683c0dcf13750707834086,True,843,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0002,e0bd80b3ee8cd9c70777f2d31e17c86702b599fcfed7e462c736bfcb653d4987,True,805,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0002,213c8c452cc9d67991a051497c85b61dd0f5b7a430955d5ebafd8787e761dcd8,True,823,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0002,6c84c0447750aa9e79c6e6b189ebe33a1529eb063c6d5cc8ebfc262535252c79,True,778,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0002,313c707c6dfe4550b3f0ed2d0e1db7a2b5924f68084c34c116cd86684d0b5b90,True,810,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0004,2c60e01464bc3cb0c6a4b4f4854fd5144ba25748c4079a95ec1e1968cb12f3f5,True,856,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0004,23505e133a1713dd93a358859b9d088ae54ebf7ba53669f8012cf5ffed55b0d6,True,815,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0004,23570a2f03ff816571298f446240b3b42493670a7ba88c8c80af3b03657620d4,True,813,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0004,618ffcb2a97bbe36e15ff05ff7bb7fda8d9b99d5b6ae0d9b7187a6672b4b46ce,True,835,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0005,b4c4df9fb2ecdd7d3b32a8bb397a9299cdeb922d4d3a69cc01fefa972c2f7e60,True,807,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0005,7b946b6c0b17a7f6ec97bc6cecdee71620a2205df2f8d6c7d93bf48d791c8841,True,821,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0005,b4413c116d59c4e9da3c7756ab5982fbeb3e5967701aa2ea24c7866bfebf0c8b,True,769,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0005,8c42379acb5b4ee06a8c81b01be1bfd3400665782592d9e9fe46cec76abdd513,True,805,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0007,6f8dd89171f41ab67f429336ae6b695a164ebe177e6714dc6f8b5ec2104f1673,True,862,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0007,47b3227eda71f4dc4afcfb39d10377a476a8c916ca4b17b26e7e4e34fc5752e5,True,850,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0007,8efd785e07abc4e6ca1d80894fbbd39a4d3ec29f2ed995a90d247874783681ce,True,832,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0007,45a7b12241fade5a0bb0469bebbb8310f832f5e93922181dc4c8fde10f53f3c5,True,860,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0008,688b6fdf712db37c0663fd13bdfc9a6cd20366a052281dfd1e932d05aa58d6a2,True,798,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0008,c1cae9e32875299a5fad97fcc1b769f5135de2c0021c215d5c1441c094c0379a,True,822,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0008,20f6643d662f64663690c98361ba572daf2c4c89cec32c904cf785d611344f21,True,792,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0008,e1067d782ad3a46c2c3c950cbd9ba19c16f56202ddc4007a0559adea0d44aadb,True,812,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0010,f6dbc8f08ca223c846947775b00f6c459accb4654ad80454c924e2291b3d6845,True,846,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0010,9fab662932b693db3e0216e269c2f0514d9a9977e9dc137486dcc9b8035a2f38,True,836,550,none,
doc_local_anonymize,c4_openai_doc_local_gpt55_24p,P0010,f81702362be6d3142e0fe17f3a2bcd77638fbc9d782508abcc5ee53bb79ddce8,True,809,550,none,
