task,condition,persona_id,risk_tier,retrieval_hit_at_k,target_docs_at_k,cache_key,cached,input_chars,max_output_tokens,reasoning_effort,text_format,text_verbosity
rag_generation::c1_direct_redaction,c1_direct_redaction,P0041,T3,1,4,cd479411f0b4c5246bfce900b894d9b6c3cb152979e74a20479547d06fc3c6be,True,4121,250,none,json_object,low
rag_generation::c1_direct_redaction,c1_direct_redaction,P0044,T3,1,2,d90d6cebcb465c1e707c1ff227435e06f771f7dafb8797ed3e035439e71af58d,True,4279,250,none,json_object,low
rag_generation::c1b_presidio_redaction,c1b_presidio_redaction,P0041,T3,1,4,982d3a61f72a8b19f12e07eb1c40bffe2d5b2c0be6b8b243c25482f48bf48436,True,4479,250,none,json_object,low
rag_generation::c1b_presidio_redaction,c1b_presidio_redaction,P0044,T3,1,2,733b5f7fe08291d728355bf566c130fc4cd69a4029a1641dd225c94f418dfc14,True,4616,250,none,json_object,low
rag_generation::c4_doc_local_anon,c4_doc_local_anon,P0041,T3,1,4,6cb1a5198ddbf3a89726615f865d9ecae16db29edb79ee967efbabf909ff4902,True,4137,250,none,json_object,low
rag_generation::c4_doc_local_anon,c4_doc_local_anon,P0044,T3,1,2,10a02217050e887ddebc06db3c41614e6f861f2a3762604b6e5f75b0a5336304,True,4269,250,none,json_object,low
rag_generation::c5_linkguard,c5_linkguard,P0041,T3,0,0,488f697822e4dea6cdd0af1ffe0fde689068421ee607289c7e30a99f9f2212db,True,4099,250,none,json_object,low
rag_generation::c5_linkguard,c5_linkguard,P0044,T3,1,1,ec01d8754e42c712471475b3bd116dffc644f38ea1f2a5951ff1f09dbf7465f6,True,4093,250,none,json_object,low
rag_generation::c6_aggressive_redaction,c6_aggressive_redaction,P0041,T3,0,0,8e77dcc4c32d8a5b295efaf55c42e7b3ad4b6ceee2de35657f661a845c5ab8f0,True,3810,250,none,json_object,low
rag_generation::c6_aggressive_redaction,c6_aggressive_redaction,P0044,T3,0,0,b883b8a76e4ea67c374f5eeea87287ac22fd0c448c69bf5dadf2b7b8475b9460,True,3899,250,none,json_object,low
