condition,condition_label,persona_id,risk_tier,top_k,retrieval_hit_at_k,target_docs_at_k,top_doc_persona,top_doc_is_target,exact_field_recovery,coarse_field_recovery,exact_fields_recovered,coarse_fields_recovered
original,C0 original,P0001,T2,5,0,0,P0008,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0002,T3,5,1,3,P0002,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0003,T1,5,0,0,P0032,0,0.36363636363636365,0.36363636363636365,4.0,4.0
original,C0 original,P0004,T2,5,0,0,P0050,0,0.2727272727272727,0.2727272727272727,3.0,3.0
original,C0 original,P0006,T1,5,0,0,P0026,0,0.36363636363636365,0.36363636363636365,4.0,4.0
original,C0 original,P0007,T2,5,0,0,P0089,0,0.45454545454545453,0.45454545454545453,5.0,5.0
original,C0 original,P0008,T3,5,1,2,P0008,1,0.7272727272727273,0.7272727272727273,8.0,8.0
original,C0 original,P0009,T1,5,0,0,P0104,0,0.36363636363636365,0.36363636363636365,4.0,4.0
original,C0 original,P0011,T3,5,1,2,P0011,1,0.7272727272727273,0.7272727272727273,8.0,8.0
original,C0 original,P0012,T1,5,0,0,P0020,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0013,T2,5,0,0,P0107,0,0.7272727272727273,0.7272727272727273,8.0,8.0
original,C0 original,P0014,T3,5,1,3,P0014,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0016,T2,5,0,0,P0053,0,0.6363636363636364,0.6363636363636364,7.0,7.0
original,C0 original,P0017,T3,5,1,3,P0017,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0018,T1,5,0,0,P0059,0,0.45454545454545453,0.45454545454545453,5.0,5.0
original,C0 original,P0019,T2,5,0,0,P0110,0,0.45454545454545453,0.45454545454545453,5.0,5.0
original,C0 original,P0021,T1,5,0,0,P0029,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0022,T2,5,0,0,P0113,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0023,T3,5,1,4,P0023,1,1.0,1.0,11.0,11.0
original,C0 original,P0024,T1,5,0,0,P0065,0,0.45454545454545453,0.45454545454545453,5.0,5.0
original,C0 original,P0026,T3,5,1,3,P0026,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0027,T1,5,0,0,P0116,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0028,T2,5,0,0,P0101,0,0.2727272727272727,0.2727272727272727,3.0,3.0
original,C0 original,P0029,T3,5,1,2,P0029,1,0.7272727272727273,0.7272727272727273,8.0,8.0
original,C0 original,P0031,T2,5,0,0,P0047,0,0.2727272727272727,0.2727272727272727,3.0,3.0
original,C0 original,P0032,T3,5,1,3,P0032,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0033,T1,5,0,0,P0056,0,0.2727272727272727,0.2727272727272727,3.0,3.0
original,C0 original,P0034,T2,5,0,0,P0113,0,0.36363636363636365,0.36363636363636365,4.0,4.0
original,C0 original,P0036,T1,5,0,0,P0104,0,0.18181818181818182,0.18181818181818182,2.0,2.0
original,C0 original,P0037,T2,5,0,0,P0014,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0038,T3,5,1,3,P0038,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0039,T1,5,0,0,P0101,0,0.36363636363636365,0.36363636363636365,4.0,4.0
original,C0 original,P0041,T3,5,1,4,P0041,1,1.0,1.0,11.0,11.0
original,C0 original,P0042,T1,5,0,0,P0020,0,0.6363636363636364,0.6363636363636364,7.0,7.0
original,C0 original,P0043,T2,5,0,0,P0074,0,0.36363636363636365,0.36363636363636365,4.0,4.0
original,C0 original,P0044,T3,5,1,2,P0044,1,0.7272727272727273,0.7272727272727273,8.0,8.0
original,C0 original,P0046,T2,5,0,0,P0059,0,0.36363636363636365,0.36363636363636365,4.0,4.0
original,C0 original,P0047,T3,5,1,1,P0047,1,0.36363636363636365,0.36363636363636365,4.0,4.0
original,C0 original,P0048,T1,5,0,0,P0077,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0049,T2,5,0,0,P0092,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0051,T1,5,0,0,P0011,0,0.2727272727272727,0.2727272727272727,3.0,3.0
original,C0 original,P0052,T2,5,0,0,P0107,0,0.7272727272727273,0.7272727272727273,8.0,8.0
original,C0 original,P0053,T3,5,1,3,P0053,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0054,T1,5,0,0,P0014,0,0.45454545454545453,0.45454545454545453,5.0,5.0
original,C0 original,P0056,T3,5,1,3,P0056,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0057,T1,5,0,0,P0101,0,0.36363636363636365,0.36363636363636365,4.0,4.0
original,C0 original,P0058,T2,5,0,0,P0065,0,0.2727272727272727,0.2727272727272727,3.0,3.0
original,C0 original,P0059,T3,5,1,2,P0059,1,0.7272727272727273,0.7272727272727273,8.0,8.0
original,C0 original,P0061,T2,5,0,0,P0053,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0062,T3,5,1,3,P0062,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0063,T1,5,0,0,P0092,0,0.6363636363636364,0.6363636363636364,7.0,7.0
original,C0 original,P0064,T2,5,0,0,P0002,0,0.45454545454545453,0.45454545454545453,5.0,5.0
original,C0 original,P0066,T1,5,0,0,P0026,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0067,T2,5,0,0,P0002,0,0.2727272727272727,0.2727272727272727,3.0,3.0
original,C0 original,P0068,T3,5,1,3,P0068,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0069,T1,5,0,0,P0017,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0071,T3,5,1,3,P0071,1,1.0,1.0,11.0,11.0
original,C0 original,P0072,T1,5,0,0,P0053,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0073,T2,5,0,0,P0062,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0074,T3,5,1,4,P0074,1,1.0,1.0,11.0,11.0
original,C0 original,P0076,T2,5,0,0,P0035,0,0.2727272727272727,0.2727272727272727,3.0,3.0
original,C0 original,P0077,T3,5,1,3,P0077,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0078,T1,5,0,0,P0086,0,0.36363636363636365,0.36363636363636365,4.0,4.0
original,C0 original,P0079,T2,5,0,0,P0089,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0081,T1,5,0,0,P0053,0,0.5454545454545454,0.5454545454545454,6.0,6.0
original,C0 original,P0082,T2,5,0,0,P0017,0,0.45454545454545453,0.45454545454545453,5.0,5.0
original,C0 original,P0083,T3,5,1,3,P0083,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0084,T1,5,0,0,P0044,0,0.18181818181818182,0.18181818181818182,2.0,2.0
original,C0 original,P0086,T3,5,1,4,P0086,1,1.0,1.0,11.0,11.0
original,C0 original,P0087,T1,5,0,0,P0074,0,0.45454545454545453,0.45454545454545453,5.0,5.0
original,C0 original,P0088,T2,5,0,0,P0044,0,0.6363636363636364,0.6363636363636364,7.0,7.0
original,C0 original,P0089,T3,5,1,2,P0089,1,0.7272727272727273,0.7272727272727273,8.0,8.0
original,C0 original,P0091,T2,5,0,0,P0011,0,0.2727272727272727,0.2727272727272727,3.0,3.0
original,C0 original,P0092,T3,5,1,3,P0092,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0093,T1,5,0,0,P0044,0,0.2727272727272727,0.2727272727272727,3.0,3.0
original,C0 original,P0094,T2,5,0,0,P0065,0,0.8181818181818182,0.8181818181818182,9.0,9.0
original,C0 original,P0096,T1,5,0,0,P0026,0,0.6363636363636364,0.6363636363636364,7.0,7.0
original,C0 original,P0097,T2,5,0,0,P0119,0,0.2727272727272727,0.2727272727272727,3.0,3.0
original,C0 original,P0098,T3,5,1,3,P0098,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0099,T1,5,0,0,P0017,0,0.6363636363636364,0.6363636363636364,7.0,7.0
original,C0 original,P0101,T3,5,1,3,P0101,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0102,T1,5,0,0,P0110,0,0.36363636363636365,0.36363636363636365,4.0,4.0
original,C0 original,P0103,T2,5,0,0,P0038,0,0.6363636363636364,0.6363636363636364,7.0,7.0
original,C0 original,P0104,T3,5,1,3,P0104,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0106,T2,5,0,0,P0098,0,0.45454545454545453,0.45454545454545453,5.0,5.0
original,C0 original,P0107,T3,5,1,3,P0107,1,0.9090909090909091,0.9090909090909091,10.0,10.0
original,C0 original,P0108,T1,5,0,0,P0014,0,0.8181818181818182,0.8181818181818182,9.0,9.0
original,C0 original,P0109,T2,5,0,0,P0119,0,0.09090909090909091,0.09090909090909091,1.0,1.0
